18	YAGA	[commanding, cheerful] Ну, родимые, закрутились!
19	PAPA	[sniffing, cheerful foreboding, trailing off] Ох. Это же…
20	YAGA	[creaky, tender] Ну? Кто тут у нас именинница?
21	FROSYA	[squealing with delight] Бабушка!
22	MAMA	[loving, slightly anxious] Мама, ты же говорила, что в этом году не выберешься.
23	YAGA	[warm, dismissive] На седьмой день рождения старшей внучки? Я бы ради такого дня и не в такую трубу полезла.
24	PAPA	[loud, delighted] Тёща дорогая! Сколько лет, сколько зим!
25	YAGA	[dry] Всё так же говоришь, будто дрова колешь.
26	PAPA	[unruffled] Зато сразу слышно, что я рад.
27	YAGA	[deadpan] Слышно. Через три стены. [casually] А я вам ещё свечек к торту привезла.
28	YAGA	[fond, sly] Ну, именинница. О чём мечтаешь?
29	MAMA	[warning] Мама…
30	FROSYA	[blurting in one breath] Хочу такую же машинку, как мы сегодня видели, чтобы она сама ездила и фары у неё по-настоящему светились!
31	VASYA	[jumping up, rushed] А я хочу превращаться в кого захочу — хоть в динозавра, хоть в дракона!
32	MAMA	[firm] Мама, нет. Они и так друг другу покоя не дают, а если им ещё…
33	YAGA	[slow, savoring] А почему бы и нет?
34	YAGA	[reciting like an old spell] Какую штуковину на белом свете душа пожелает — имя её напишешь, она и явится.
35	FROSYA	[disbelieving joy] И машину можно?
36	YAGA	[sly] Сумеешь имя написать — будет тебе и машина.
37	YAGA	[grand] А ты, кавалер, иди сюда.
38	VASYA	[blinking, puzzled] И всё?
39	YAGA	[serious, like an old spell] Слово вслух прочтёшь да ВЖУХ крикнешь — кого оно называет, в того и обернёшься. А второй раз вжухнешь — снова Васей станешь.
40	YAGA	[sly, looking them over] Подарки у вас разные, а секрет у них один на двоих.
41	FROSYA	[wary] Какой секрет?
42	YAGA	[pleased] Сами узнаете.
