75	VASYA	[loud] Всё! Теперь я!
76	FROSYA	[zipping past, carried away] Ещё один круг!
77	VASYA	[hurt] Ты уже сказала «ещё один»!
78	FROSYA	[racing off] Теперь последний!
79	VASYA	[through clenched teeth] К… О… Т. КОТ! ВЖУХ!
80	FROSYA	[braking, threatening] Вася, уйди с дороги.
81	VASYA	[insolent purring] Мяу.
82	FROSYA	[boiling over] Ах так… Б-А-К. БАК!
83	VASYA	[frightened cat] Мя-а-а…
84	FROSYA	[offended, to the scooter] Поехали.
85	VASYA	[through clenched teeth] О… С… А. А-СА́! ВЖУХ!	# display word card: ОСА
86	FROSYA	[screaming] Вася! Не смей! Я маме скажу!
87	FROSYA	[panicked, running] Вася, хватит! Ой!
88	VASYA	[quiet, ashamed] Вжух.
89	VASYA	[whispering] Это не я.
90	FROSYA	[whispering, honest] Это мы.
91	VASYA	[grim five-year-old seriousness] Шесть свечек на семь лет нельзя. Получится, что тебе шесть.
92	FROSYA	[horrified] Я не хочу обратно в шесть!
93	FROSYA	[panting] Не достаю… Слишком глубоко.
94	FROSYA	[at a loss] Что делать будем?
95	VASYA	[slowly] Я асо́й пролезу.	# display: осой
96	FROSYA	[turning to him] Оса свечу не поднимет. Она тяжёлая, а ты будешь маленький.
97	VASYA	[stubborn] А ты придумай. Ты же всегда всё придумываешь.
98	FROSYA	[rapid, already writing] Нитка! Тебе нужна нитка! Ты обвяжешь свечу, а я вытяну. М-О-Т-О-К. МА-ТО́К!	# display: МОТОК
99	FROSYA	[suddenly quiet and caring] Вась. Только не спеши там. Ладно?
100	VASYA	[calm] О… С… А. А-СА́. Вжух.	# display word card: ОСА
101	FROSYA	[whispering into the hole] Ну что там?
102	MAMA	[quietly stopping Papa] Пусть сами.
103	FROSYA	[bracing] Тяну!
104	VASYA	[catching his breath] Вжух.
105	VASYA	[proud, breathless] Я обвязал. Сам. Тройным узлом!
106	MAMA	[calm] Так.
107	FROSYA	[quickly] Мы всё починили!
108	MAMA	[after a pause] Вижу. Бак — с дороги.
109	YAGA	[soft] Загадывай, внучка. Только про себя, а то не сбудется.
110	PAPA	[celebrating, loudest] Ура!
111	YAGA	[gruff and tender] Пора мне. До леса ещё лететь да лететь.
112	YAGA	[quiet, right in her ear] Строго держи. Оба — огонь. [slyly] В меня.
113	FROSYA	[tight last hug] Пока, бабушка!
114	FROSYA	[whispering, businesslike] Учи буквы, Вася.
