01	sockdrag	0.35
02	sockdrag	0.3
03	clock	0.18
04	clock	0.18
05	clock	0.18
06	clock	0.18
07	rccar	0.4
08	rccar	0.3
09	carstuck	0.4
10	carstuck	0.35
18	mortar	0.4
19	rumble	0.45
20	sootburst	0.3
39	vzhukh	0.55
46	stove	0.15
52	chime	0.5
55	chime	0.45
57	chime	0.45
62	vzhukh	0.55
66	vzhukh	0.5
72	chimebig	0.5
73	scooter	0.3
75	scooter	0.4
76	scooter	0.4
77	scooter	0.35
78	scooter	0.4
79	vzhukh	0.5
85	vzhukh	0.5
86	buzz	0.4
87	buzz	0.45
82	whomp	0.5
88	buzz	0.25
98	chime	0.45
100	vzhukh	0.45
109	stove	0.15
110	partyblow	0.45
114	stove	0.2
